Pulse,V,absI
1,-0.75,2.65E-07
2,-0.75,2.59E-07
3,-0.75,2.60E-07
4,-0.75,2.46E-07
5,-0.75,2.51E-07
6,-0.75,2.50E-07
7,-0.75,2.51E-07
8,-0.75,2.48E-07
9,-0.75,2.43E-07
10,-0.75,2.42E-07
11,-0.75,2.41E-07
12,-0.75,2.43E-07
13,-0.75,2.42E-07
14,-0.75,2.43E-07
15,-0.75,2.40E-07
16,-0.75,2.41E-07
17,-0.75,2.42E-07
18,-0.75,2.43E-07
19,-0.75,2.45E-07
20,-0.75,2.46E-07
21,-0.75,2.46E-07
22,-0.75,2.44E-07
23,-0.75,2.43E-07
24,-0.75,2.40E-07
25,-0.75,2.40E-07
26,-0.75,2.47E-07
27,-0.75,2.37E-07
28,-0.75,2.41E-07
29,-0.75,2.43E-07
30,-0.75,2.44E-07
31,-0.75,2.42E-07
32,-0.75,2.41E-07
33,-0.75,2.39E-07
34,-0.75,2.42E-07
35,-0.75,2.42E-07
36,-0.75,2.40E-07
37,-0.75,2.42E-07
38,-0.75,2.44E-07
39,-0.75,2.78E-07
40,-0.75,2.77E-07
41,-0.75,2.76E-07
42,-0.75,2.44E-07
43,-0.75,2.41E-07
44,-0.75,2.41E-07
45,-0.75,2.40E-07
46,-0.75,2.43E-07
47,-0.75,2.42E-07
48,-0.75,2.44E-07
49,-0.75,2.43E-07
50,-0.75,2.45E-07
51,-1,2.60E-07
52,-1,2.78E-07
53,-1,2.63E-07
54,-1,2.64E-07
55,-1,2.61E-07
56,-1,2.62E-07
57,-1,2.64E-07
58,-1,2.64E-07
59,-1,2.64E-07
60,-1,2.63E-07
61,-1,2.62E-07
62,-1,2.63E-07
63,-1,2.61E-07
64,-1,2.60E-07
65,-1,2.67E-07
66,-1,2.68E-07
67,-1,2.67E-07
68,-1,2.67E-07
69,-1,2.71E-07
70,-1,2.70E-07
71,-1,2.66E-07
72,-1,2.66E-07
73,-1,2.61E-07
74,-1,2.64E-07
75,-1,2.66E-07
76,-1,2.68E-07
77,-1,2.69E-07
78,-1,2.70E-07
79,-1,2.70E-07
80,-1,2.69E-07
81,-1,2.69E-07
82,-1,2.71E-07
83,-1,2.71E-07
84,-1,2.66E-07
85,-1,2.71E-07
86,-1,2.73E-07
87,-1,2.79E-07
88,-1,2.77E-07
89,-1,2.76E-07
90,-1,2.76E-07
91,-1,2.75E-07
92,-1,2.75E-07
93,-1,2.73E-07
94,-1,2.81E-07
95,-1,2.73E-07
96,-1,2.69E-07
97,-1,2.68E-07
98,-1,2.68E-07
99,-1,2.69E-07
100,-1,2.71E-07
101,-1.25,2.76E-07
102,-1.25,2.70E-07
103,-1.25,2.71E-07
104,-1.25,2.72E-07
105,-1.25,2.76E-07
106,-1.25,2.78E-07
107,-1.25,2.79E-07
108,-1.25,2.80E-07
109,-1.25,2.77E-07
110,-1.25,2.83E-07
111,-1.25,2.83E-07
112,-1.25,2.83E-07
113,-1.25,2.84E-07
114,-1.25,2.85E-07
115,-1.25,2.85E-07
116,-1.25,2.81E-07
117,-1.25,2.80E-07
118,-1.25,2.75E-07
119,-1.25,2.82E-07
120,-1.25,2.82E-07
121,-1.25,2.83E-07
122,-1.25,2.83E-07
123,-1.25,2.81E-07
124,-1.25,2.84E-07
125,-1.25,2.83E-07
126,-1.25,2.82E-07
127,-1.25,2.82E-07
128,-1.25,2.82E-07
129,-1.25,2.84E-07
130,-1.25,2.82E-07
131,-1.25,2.82E-07
132,-1.25,2.82E-07
133,-1.25,2.81E-07
134,-1.25,2.84E-07
135,-1.25,2.82E-07
136,-1.25,2.81E-07
137,-1.25,2.82E-07
138,-1.25,2.82E-07
139,-1.25,2.82E-07
140,-1.25,2.81E-07
141,-1.25,2.78E-07
142,-1.25,2.81E-07
143,-1.25,2.83E-07
144,-1.25,2.90E-07
145,-1.25,2.84E-07
146,-1.25,2.93E-07
147,-1.25,2.83E-07
148,-1.25,2.82E-07
149,-1.25,2.82E-07
150,-1.25,2.81E-07
151,-1.5,2.95E-07
152,-1.5,2.93E-07
153,-1.5,2.94E-07
154,-1.5,2.89E-07
155,-1.5,2.82E-07
156,-1.5,2.86E-07
157,-1.5,2.84E-07
158,-1.5,2.91E-07
159,-1.5,2.84E-07
160,-1.5,2.88E-07
161,-1.5,2.89E-07
162,-1.5,2.91E-07
163,-1.5,2.88E-07
164,-1.5,2.90E-07
165,-1.5,2.89E-07
166,-1.5,2.87E-07
167,-1.5,2.91E-07
168,-1.5,2.86E-07
169,-1.5,2.84E-07
170,-1.5,2.86E-07
171,-1.5,2.88E-07
172,-1.5,2.87E-07
173,-1.5,2.81E-07
174,-1.5,2.84E-07
175,-1.5,2.82E-07
176,-1.5,2.86E-07
177,-1.5,2.87E-07
178,-1.5,2.88E-07
179,-1.5,2.81E-07
180,-1.5,2.84E-07
181,-1.5,2.87E-07
182,-1.5,2.82E-07
183,-1.5,2.85E-07
184,-1.5,2.89E-07
185,-1.5,2.84E-07
186,-1.5,2.79E-07
187,-1.5,2.84E-07
188,-1.5,2.84E-07
189,-1.5,2.80E-07
190,-1.5,2.80E-07
191,-1.5,2.78E-07
192,-1.5,2.79E-07
193,-1.5,2.79E-07
194,-1.5,2.79E-07
195,-1.5,2.80E-07
196,-1.5,2.77E-07
197,-1.5,2.78E-07
198,-1.5,2.76E-07
199,-1.5,2.81E-07
200,-1.5,2.82E-07
201,-1.75,3.31E-07
202,-1.75,3.33E-07
203,-1.75,3.06E-07
204,-1.75,3.01E-07
205,-1.75,3.06E-07
206,-1.75,3.42E-07
207,-1.75,3.37E-07
208,-1.75,3.08E-07
209,-1.75,3.10E-07
210,-1.75,3.13E-07
211,-1.75,3.06E-07
212,-1.75,3.15E-07
213,-1.75,3.08E-07
214,-1.75,3.16E-07
215,-1.75,3.17E-07
216,-1.75,3.17E-07
217,-1.75,3.06E-07
218,-1.75,3.05E-07
219,-1.75,2.97E-07
220,-1.75,3.02E-07
221,-1.75,3.03E-07
222,-1.75,3.06E-07
223,-1.75,3.11E-07
224,-1.75,3.02E-07
225,-1.75,3.07E-07
226,-1.75,3.00E-07
227,-1.75,3.03E-07
228,-1.75,2.95E-07
229,-1.75,3.03E-07
230,-1.75,3.05E-07
231,-1.75,3.07E-07
232,-1.75,3.05E-07
233,-1.75,3.05E-07
234,-1.75,3.04E-07
235,-1.75,3.06E-07
236,-1.75,3.10E-07
237,-1.75,3.11E-07
238,-1.75,3.12E-07
239,-1.75,3.10E-07
240,-1.75,3.13E-07
241,-1.75,3.11E-07
242,-1.75,3.13E-07
243,-1.75,3.11E-07
244,-1.75,3.13E-07
245,-1.75,3.13E-07
246,-1.75,3.17E-07
247,-1.75,3.14E-07
248,-1.75,3.14E-07
249,-1.75,3.15E-07
250,-1.75,3.15E-07
251,-2,3.30E-07
252,-2,3.44E-07
253,-2,3.31E-07
254,-2,3.29E-07
255,-2,3.33E-07
256,-2,3.39E-07
257,-2,3.46E-07
258,-2,3.43E-07
259,-2,3.50E-07
260,-2,3.51E-07
261,-2,3.47E-07
262,-2,3.52E-07
263,-2,3.59E-07
264,-2,3.56E-07
265,-2,3.57E-07
266,-2,3.62E-07
267,-2,3.61E-07
268,-2,3.56E-07
269,-2,3.62E-07
270,-2,3.61E-07
271,-2,3.57E-07
272,-2,3.55E-07
273,-2,3.55E-07
274,-2,3.59E-07
275,-2,3.63E-07
276,-2,3.70E-07
277,-2,3.62E-07
278,-2,3.66E-07
279,-2,3.63E-07
280,-2,3.72E-07
281,-2,3.61E-07
282,-2,3.75E-07
283,-2,3.66E-07
284,-2,3.77E-07
285,-2,3.71E-07
286,-2,3.76E-07
287,-2,3.70E-07
288,-2,3.80E-07
289,-2,3.80E-07
290,-2,3.78E-07
291,-2,3.78E-07
292,-2,3.89E-07
293,-2,3.86E-07
294,-2,3.79E-07
295,-2,3.79E-07
296,-2,3.78E-07
297,-2,3.86E-07
298,-2,3.71E-07
299,-2,3.71E-07
300,-2,3.79E-07
301,-2.1,4.15E-07
302,-2.1,4.08E-07
303,-2.1,4.12E-07
304,-2.1,4.01E-07
305,-2.1,4.01E-07
306,-2.1,4.10E-07
307,-2.1,4.89E-07
308,-2.1,4.04E-07
309,-2.1,3.97E-07
310,-2.1,4.45E-07
311,-2.1,4.36E-07
312,-2.1,4.50E-07
313,-2.1,4.43E-07
314,-2.1,4.37E-07
315,-2.1,4.52E-07
316,-2.1,4.72E-07
317,-2.1,4.53E-07
318,-2.1,4.49E-07
319,-2.1,4.25E-07
320,-2.1,4.63E-07
321,-2.1,4.29E-07
322,-2.1,4.75E-07
323,-2.1,4.42E-07
324,-2.1,5.23E-07
325,-2.1,4.20E-07
326,-2.1,4.74E-07
327,-2.1,4.81E-07
328,-2.1,4.73E-07
329,-2.1,4.25E-07
330,-2.1,4.60E-07
331,-2.1,4.64E-07
332,-2.1,4.29E-07
333,-2.1,4.02E-07
334,-2.1,4.02E-07
335,-2.1,4.02E-07
336,-2.1,3.97E-07
337,-2.1,4.17E-07
338,-2.1,4.10E-07
339,-2.1,4.08E-07
340,-2.1,3.97E-07
341,-2.1,4.00E-07
342,-2.1,4.12E-07
343,-2.1,4.06E-07
344,-2.1,4.05E-07
345,-2.1,4.10E-07
346,-2.1,4.13E-07
347,-2.1,4.11E-07
348,-2.1,4.11E-07
349,-2.1,4.08E-07
350,-2.1,4.02E-07
351,-2.2,4.05E-07
352,-2.2,4.12E-07
353,-2.2,4.17E-07
354,-2.2,4.08E-07
355,-2.2,4.21E-07
356,-2.2,4.25E-07
357,-2.2,4.26E-07
358,-2.2,4.19E-07
359,-2.2,4.15E-07
360,-2.2,4.19E-07
361,-2.2,4.31E-07
362,-2.2,4.25E-07
363,-2.2,4.32E-07
364,-2.2,4.34E-07
365,-2.2,4.32E-07
366,-2.2,4.29E-07
367,-2.2,4.22E-07
368,-2.2,4.21E-07
369,-2.2,4.14E-07
370,-2.2,4.11E-07
371,-2.2,4.21E-07
372,-2.2,4.35E-07
373,-2.2,4.20E-07
374,-2.2,4.23E-07
375,-2.2,4.28E-07
376,-2.2,4.37E-07
377,-2.2,4.40E-07
378,-2.2,4.48E-07
379,-2.2,4.44E-07
380,-2.2,4.32E-07
381,-2.2,4.34E-07
382,-2.2,4.34E-07
383,-2.2,4.40E-07
384,-2.2,4.37E-07
385,-2.2,4.38E-07
386,-2.2,4.44E-07
387,-2.2,4.43E-07
388,-2.2,4.45E-07
389,-2.2,4.42E-07
390,-2.2,4.45E-07
391,-2.2,4.56E-07
392,-2.2,4.52E-07
393,-2.2,4.57E-07
394,-2.2,4.55E-07
395,-2.2,4.51E-07
396,-2.2,4.56E-07
397,-2.2,4.58E-07
398,-2.2,4.98E-07
399,-2.2,4.85E-07
400,-2.2,4.58E-07
401,-2.3,4.52E-07
402,-2.3,4.56E-07
403,-2.3,4.65E-07
404,-2.3,4.59E-07
405,-2.3,4.65E-07
406,-2.3,4.71E-07
407,-2.3,4.75E-07
408,-2.3,4.72E-07
409,-2.3,4.99E-07
410,-2.3,4.70E-07
411,-2.3,4.93E-07
412,-2.3,4.93E-07
413,-2.3,4.95E-07
414,-2.3,4.74E-07
415,-2.3,4.62E-07
416,-2.3,4.61E-07
417,-2.3,4.71E-07
418,-2.3,4.69E-07
419,-2.3,4.53E-07
420,-2.3,4.59E-07
421,-2.3,4.53E-07
422,-2.3,4.62E-07
423,-2.3,4.59E-07
424,-2.3,4.63E-07
425,-2.3,4.62E-07
426,-2.3,4.54E-07
427,-2.3,4.47E-07
428,-2.3,4.55E-07
429,-2.3,4.53E-07
430,-2.3,4.72E-07
431,-2.3,4.69E-07
432,-2.3,4.74E-07
433,-2.3,4.74E-07
434,-2.3,4.64E-07
435,-2.3,4.64E-07
436,-2.3,4.64E-07
437,-2.3,4.74E-07
438,-2.3,4.63E-07
439,-2.3,4.65E-07
440,-2.3,4.72E-07
441,-2.3,4.75E-07
442,-2.3,4.65E-07
443,-2.3,4.62E-07
444,-2.3,4.71E-07
445,-2.3,4.67E-07
446,-2.3,4.73E-07
447,-2.3,4.68E-07
448,-2.3,4.62E-07
449,-2.3,4.66E-07
450,-2.3,4.71E-07
451,-2.3,4.59E-07
452,-2.3,4.56E-07
453,-2.3,4.71E-07
454,-2.3,4.66E-07
455,-2.3,4.69E-07
456,-2.3,4.70E-07
457,-2.3,4.62E-07
458,-2.3,4.72E-07
459,-2.3,4.74E-07
460,-2.3,4.75E-07
461,-2.3,4.69E-07
462,-2.3,4.71E-07
463,-2.3,4.66E-07
464,-2.3,4.66E-07
465,-2.3,4.68E-07
466,-2.3,4.67E-07
467,-2.3,4.78E-07
468,-2.3,4.90E-07
469,-2.3,4.89E-07
470,-2.3,4.89E-07
471,-2.3,4.86E-07
472,-2.3,4.85E-07
473,-2.3,5.07E-07
474,-2.3,5.00E-07
475,-2.3,4.82E-07
476,-2.3,4.77E-07
477,-2.3,4.89E-07
478,-2.3,4.87E-07
479,-2.3,4.88E-07
480,-2.3,4.94E-07
481,-2.3,5.03E-07
482,-2.3,4.95E-07
483,-2.3,5.00E-07
484,-2.3,4.95E-07
485,-2.3,4.88E-07
486,-2.3,5.03E-07
487,-2.3,5.03E-07
488,-2.3,4.99E-07
489,-2.3,5.03E-07
490,-2.3,5.07E-07
491,-2.3,5.02E-07
492,-2.3,5.03E-07
493,-2.3,5.07E-07
494,-2.3,5.06E-07
495,-2.3,4.99E-07
496,-2.3,5.00E-07
497,-2.3,5.10E-07
498,-2.3,5.12E-07
499,-2.3,5.02E-07
500,-2.3,5.05E-07
501,-2.4,5.24E-07
502,-2.4,5.21E-07
503,-2.4,5.17E-07
504,-2.4,5.08E-07
505,-2.4,5.06E-07
506,-2.4,5.11E-07
507,-2.4,5.18E-07
508,-2.4,5.22E-07
509,-2.4,5.21E-07
510,-2.4,5.07E-07
511,-2.4,5.07E-07
512,-2.4,5.03E-07
513,-2.4,5.30E-07
514,-2.4,5.52E-07
515,-2.4,5.44E-07
516,-2.4,5.36E-07
517,-2.4,5.36E-07
518,-2.4,5.37E-07
519,-2.4,5.50E-07
520,-2.4,5.52E-07
521,-2.4,5.53E-07
522,-2.4,5.60E-07
523,-2.4,5.52E-07
524,-2.4,5.44E-07
525,-2.4,5.29E-07
526,-2.4,5.44E-07
527,-2.4,5.46E-07
528,-2.4,5.41E-07
529,-2.4,5.47E-07
530,-2.4,5.39E-07
531,-2.4,5.63E-07
532,-2.4,5.81E-07
533,-2.4,5.45E-07
534,-2.4,5.56E-07
535,-2.4,5.62E-07
536,-2.4,5.52E-07
537,-2.4,5.56E-07
538,-2.4,5.71E-07
539,-2.4,5.78E-07
540,-2.4,5.62E-07
541,-2.4,5.67E-07
542,-2.4,5.71E-07
543,-2.4,5.72E-07
544,-2.4,5.82E-07
545,-2.4,5.80E-07
546,-2.4,5.67E-07
547,-2.4,5.69E-07
548,-2.4,5.86E-07
549,-2.4,5.78E-07
550,-2.4,5.56E-07
551,-2.4,5.53E-07
552,-2.4,5.65E-07
553,-2.4,5.45E-07
554,-2.4,5.56E-07
555,-2.4,5.71E-07
556,-2.4,5.68E-07
557,-2.4,5.79E-07
558,-2.4,5.78E-07
559,-2.4,5.96E-07
560,-2.4,6.18E-07
561,-2.4,5.92E-07
562,-2.4,6.01E-07
563,-2.4,5.76E-07
564,-2.4,5.69E-07
565,-2.4,5.98E-07
566,-2.4,5.71E-07
567,-2.4,5.88E-07
568,-2.4,5.80E-07
569,-2.4,5.82E-07
570,-2.4,5.88E-07
571,-2.4,5.97E-07
572,-2.4,6.20E-07
573,-2.4,5.80E-07
574,-2.4,5.89E-07
575,-2.4,5.75E-07
576,-2.4,5.80E-07
577,-2.4,6.05E-07
578,-2.4,5.95E-07
579,-2.4,5.87E-07
580,-2.4,5.91E-07
581,-2.4,5.75E-07
582,-2.4,5.73E-07
583,-2.4,5.69E-07
584,-2.4,5.67E-07
585,-2.4,5.80E-07
586,-2.4,5.69E-07
587,-2.4,5.76E-07
588,-2.4,5.80E-07
589,-2.4,5.95E-07
590,-2.4,5.87E-07
591,-2.4,5.79E-07
592,-2.4,6.00E-07
593,-2.4,6.40E-07
594,-2.4,6.38E-07
595,-2.4,6.04E-07
596,-2.4,6.05E-07
597,-2.4,5.94E-07
598,-2.4,5.79E-07
599,-2.4,5.94E-07
600,-2.4,6.06E-07
601,-2.5,6.49E-07
602,-2.5,6.43E-07
603,-2.5,6.41E-07
604,-2.5,6.09E-07
605,-2.5,6.15E-07
606,-2.5,6.41E-07
607,-2.5,6.46E-07
608,-2.5,6.68E-07
609,-2.5,6.47E-07
610,-2.5,6.44E-07
611,-2.5,6.17E-07
612,-2.5,7.14E-07
613,-2.5,6.76E-07
614,-2.5,6.73E-07
615,-2.5,7.37E-07
616,-2.5,6.58E-07
617,-2.5,6.69E-07
618,-2.5,6.63E-07
619,-2.5,6.83E-07
620,-2.5,7.10E-07
621,-2.5,6.61E-07
622,-2.5,6.79E-07
623,-2.5,6.31E-07
624,-2.5,6.68E-07
625,-2.5,6.38E-07
626,-2.5,6.53E-07
627,-2.5,6.46E-07
628,-2.5,6.40E-07
629,-2.5,6.49E-07
630,-2.5,6.52E-07
631,-2.5,6.44E-07
632,-2.5,6.53E-07
633,-2.5,6.54E-07
634,-2.5,6.47E-07
635,-2.5,6.48E-07
636,-2.5,6.61E-07
637,-2.5,6.53E-07
638,-2.5,6.64E-07
639,-2.5,6.79E-07
640,-2.5,6.63E-07
641,-2.5,6.96E-07
642,-2.5,6.27E-07
643,-2.5,6.40E-07
644,-2.5,6.45E-07
645,-2.5,6.27E-07
646,-2.5,6.25E-07
647,-2.5,6.26E-07
648,-2.5,6.26E-07
649,-2.5,6.19E-07
650,-2.5,6.38E-07
651,-2.5,6.32E-07
652,-2.5,6.47E-07
653,-2.5,6.48E-07
654,-2.5,6.35E-07
655,-2.5,6.61E-07
656,-2.5,6.49E-07
657,-2.5,6.23E-07
658,-2.5,6.33E-07
659,-2.5,6.38E-07
660,-2.5,6.54E-07
661,-2.5,6.38E-07
662,-2.5,6.35E-07
663,-2.5,6.40E-07
664,-2.5,6.41E-07
665,-2.5,6.60E-07
666,-2.5,6.44E-07
667,-2.5,6.47E-07
668,-2.5,6.59E-07
669,-2.5,6.76E-07
670,-2.5,6.78E-07
671,-2.5,6.68E-07
672,-2.5,6.64E-07
673,-2.5,6.55E-07
674,-2.5,6.69E-07
675,-2.5,6.46E-07
676,-2.5,6.46E-07
677,-2.5,6.28E-07
678,-2.5,6.40E-07
679,-2.5,6.54E-07
680,-2.5,6.47E-07
681,-2.5,6.43E-07
682,-2.5,6.42E-07
683,-2.5,6.54E-07
684,-2.5,6.62E-07
685,-2.5,6.59E-07
686,-2.5,6.49E-07
687,-2.5,6.37E-07
688,-2.5,6.55E-07
689,-2.5,6.55E-07
690,-2.5,6.56E-07
691,-2.5,6.57E-07
692,-2.5,6.57E-07
693,-2.5,6.62E-07
694,-2.5,6.91E-07
695,-2.5,6.72E-07
696,-2.5,6.60E-07
697,-2.5,7.00E-07
698,-2.5,7.12E-07
699,-2.5,7.02E-07
700,-2.5,6.72E-07
701,-2.6,6.81E-07
702,-2.6,6.94E-07
703,-2.6,7.02E-07
704,-2.6,6.72E-07
705,-2.6,6.70E-07
706,-2.6,6.76E-07
707,-2.6,6.86E-07
708,-2.6,6.99E-07
709,-2.6,6.86E-07
710,-2.6,7.01E-07
711,-2.6,6.82E-07
712,-2.6,6.89E-07
713,-2.6,7.17E-07
714,-2.6,7.04E-07
715,-2.6,7.06E-07
716,-2.6,6.94E-07
717,-2.6,7.00E-07
718,-2.6,6.94E-07
719,-2.6,6.98E-07
720,-2.6,7.26E-07
721,-2.6,7.18E-07
722,-2.6,7.33E-07
723,-2.6,7.34E-07
724,-2.6,7.32E-07
725,-2.6,7.08E-07
726,-2.6,7.01E-07
727,-2.6,7.15E-07
728,-2.6,7.09E-07
729,-2.6,7.24E-07
730,-2.6,7.27E-07
731,-2.6,7.27E-07
732,-2.6,7.22E-07
733,-2.6,7.26E-07
734,-2.6,7.37E-07
735,-2.6,7.34E-07
736,-2.6,7.43E-07
737,-2.6,7.27E-07
738,-2.6,7.48E-07
739,-2.6,7.58E-07
740,-2.6,7.45E-07
741,-2.6,7.39E-07
742,-2.6,7.28E-07
743,-2.6,7.14E-07
744,-2.6,7.35E-07
745,-2.6,7.45E-07
746,-2.6,7.42E-07
747,-2.6,7.72E-07
748,-2.6,7.59E-07
749,-2.6,7.59E-07
750,-2.6,7.58E-07
751,-2.6,7.61E-07
752,-2.6,7.69E-07
753,-2.6,7.59E-07
754,-2.6,7.51E-07
755,-2.6,7.66E-07
756,-2.6,7.69E-07
757,-2.6,7.73E-07
758,-2.6,7.76E-07
759,-2.6,7.78E-07
760,-2.6,7.45E-07
761,-2.6,7.52E-07
762,-2.6,7.64E-07
763,-2.6,7.63E-07
764,-2.6,7.74E-07
765,-2.6,7.65E-07
766,-2.6,7.57E-07
767,-2.6,7.53E-07
768,-2.6,7.70E-07
769,-2.6,7.78E-07
770,-2.6,7.90E-07
771,-2.6,7.98E-07
772,-2.6,8.14E-07
773,-2.6,8.55E-07
774,-2.6,8.31E-07
775,-2.6,8.41E-07
776,-2.6,8.13E-07
777,-2.6,7.97E-07
778,-2.6,8.03E-07
779,-2.6,8.05E-07
780,-2.6,8.24E-07
781,-2.6,8.11E-07
782,-2.6,8.02E-07
783,-2.6,7.90E-07
784,-2.6,7.99E-07
785,-2.6,7.99E-07
786,-2.6,8.10E-07
787,-2.6,8.66E-07
788,-2.6,8.74E-07
789,-2.6,8.76E-07
790,-2.6,8.62E-07
791,-2.6,8.53E-07
792,-2.6,7.70E-07
793,-2.6,7.65E-07
794,-2.6,7.82E-07
795,-2.6,7.81E-07
796,-2.6,7.85E-07
797,-2.6,8.03E-07
798,-2.6,8.06E-07
799,-2.6,8.09E-07
800,-2.6,8.23E-07
801,-2.7,8.41E-07
802,-2.7,8.18E-07
803,-2.7,8.13E-07
804,-2.7,8.19E-07
805,-2.7,8.22E-07
806,-2.7,8.39E-07
807,-2.7,8.25E-07
808,-2.7,8.16E-07
809,-2.7,8.20E-07
810,-2.7,8.25E-07
811,-2.7,8.25E-07
812,-2.7,8.11E-07
813,-2.7,8.12E-07
814,-2.7,8.12E-07
815,-2.7,8.56E-07
816,-2.7,7.97E-07
817,-2.7,8.20E-07
818,-2.7,8.23E-07
819,-2.7,8.16E-07
820,-2.7,8.14E-07
821,-2.7,8.30E-07
822,-2.7,8.42E-07
823,-2.7,8.51E-07
824,-2.7,8.45E-07
825,-2.7,8.37E-07
826,-2.7,8.44E-07
827,-2.7,8.55E-07
828,-2.7,8.51E-07
829,-2.7,8.41E-07
830,-2.7,8.65E-07
831,-2.7,8.56E-07
832,-2.7,8.61E-07
833,-2.7,9.03E-07
834,-2.7,8.86E-07
835,-2.7,9.00E-07
836,-2.7,8.60E-07
837,-2.7,8.83E-07
838,-2.7,8.80E-07
839,-2.7,9.20E-07
840,-2.7,9.07E-07
841,-2.7,8.89E-07
842,-2.7,9.12E-07
843,-2.7,8.87E-07
844,-2.7,8.99E-07
845,-2.7,9.27E-07
846,-2.7,9.36E-07
847,-2.7,9.16E-07
848,-2.7,9.02E-07
849,-2.7,9.07E-07
850,-2.7,9.29E-07
851,-2.7,9.44E-07
852,-2.7,9.33E-07
853,-2.7,9.24E-07
854,-2.7,9.26E-07
855,-2.7,9.26E-07
856,-2.7,9.28E-07
857,-2.7,9.24E-07
858,-2.7,9.33E-07
859,-2.7,9.23E-07
860,-2.7,9.23E-07
861,-2.7,9.50E-07
862,-2.7,9.52E-07
863,-2.7,9.65E-07
864,-2.7,9.41E-07
865,-2.7,9.56E-07
866,-2.7,9.84E-07
867,-2.7,9.57E-07
868,-2.7,9.42E-07
869,-2.7,9.65E-07
870,-2.7,9.71E-07
871,-2.7,9.46E-07
872,-2.7,9.80E-07
873,-2.7,9.82E-07
874,-2.7,9.59E-07
875,-2.7,9.52E-07
876,-2.7,9.59E-07
877,-2.7,9.49E-07
878,-2.7,9.50E-07
879,-2.7,9.64E-07
880,-2.7,9.51E-07
881,-2.7,9.63E-07
882,-2.7,9.41E-07
883,-2.7,9.52E-07
884,-2.7,9.68E-07
885,-2.7,9.64E-07
886,-2.7,9.68E-07
887,-2.7,9.74E-07
888,-2.7,9.42E-07
889,-2.7,9.35E-07
890,-2.7,9.51E-07
891,-2.7,9.47E-07
892,-2.7,9.58E-07
893,-2.7,9.86E-07
894,-2.7,9.97E-07
895,-2.7,1.04E-06
896,-2.7,9.55E-07
897,-2.7,1.02E-06
898,-2.7,9.82E-07
899,-2.7,9.81E-07
900,-2.7,9.97E-07
901,-2.8,1.00E-06
902,-2.8,1.01E-06
903,-2.8,1.01E-06
904,-2.8,1.12E-06
905,-2.8,1.02E-06
906,-2.8,1.03E-06
907,-2.8,1.04E-06
908,-2.8,1.04E-06
909,-2.8,1.05E-06
910,-2.8,1.07E-06
911,-2.8,1.07E-06
912,-2.8,1.06E-06
913,-2.8,1.03E-06
914,-2.8,1.06E-06
915,-2.8,1.15E-06
916,-2.8,1.13E-06
917,-2.8,1.09E-06
918,-2.8,1.07E-06
919,-2.8,1.10E-06
920,-2.8,1.08E-06
921,-2.8,1.07E-06
922,-2.8,1.09E-06
923,-2.8,1.08E-06
924,-2.8,1.05E-06
925,-2.8,1.04E-06
926,-2.8,1.07E-06
927,-2.8,1.07E-06
928,-2.8,1.04E-06
929,-2.8,1.05E-06
930,-2.8,1.03E-06
